FileName: 185skiis-template.bmp, datasize: 810054.0, network3g:3 , method: def0, energy: CPU_EC: 590 Wifi_EC: 20951Total: 21541
FileName: 0001_259.jpg, datasize: 628254.0, network3g:3 , method: def0, energy: CPU_EC: 784 Wifi_EC: 37723Total: 38507
FileName: 10-cougar1.bmp, datasize: 540178.0, network3g:3 , method: def0, energy: CPU_EC: 1049 Wifi_EC: 54133Total: 55182
FileName: 0023ae989701101318352d.bmp, datasize: 322554.0, network3g:3 , method: def0, energy: CPU_EC: 1218 Wifi_EC: 62859Total: 64077
FileName: 200_s.gif, datasize: 33042.0, network3g:3 , method: def0, energy: CPU_EC: 1258 Wifi_EC: 65654Total: 66912
FileName: 221.bmp, datasize: 921654.0, network3g:3 , method: def0, energy: CPU_EC: 1480 Wifi_EC: 91136Total: 92616
FileName: 800px-Ocean_dumping_of_radioactive_waste_in_Atlantic_Ocean.png, datasize: 738164.0, network3g:3 , method: def0, energy: CPU_EC: 1760 Wifi_EC: 112433Total: 114193
FileName: 2973ac1a9f996fe733906c3f7bc84779.png, datasize: 2147098.0, network3g:3 , method: def0, energy: CPU_EC: 2122 Wifi_EC: 172482Total: 174604
FileName: 132101970436880.bmp, datasize: 763030.0, network3g:3 , method: def0, energy: CPU_EC: 2384 Wifi_EC: 195878Total: 198262
FileName: 1462610882824795971.gif, datasize: 3059921.0, network3g:3 , method: def0, energy: CPU_EC: 2849 Wifi_EC: 297462Total: 300311
FileName: amazing-beautiful-beauty-blue-medium.jpg, datasize: 101915.0, network3g:3 , method: def0, energy: CPU_EC: 2881 Wifi_EC: 303396Total: 306277
FileName: antarctica-km-south-pole-eternal-ice-76968-medium.jpeg, datasize: 63023.0, network3g:3 , method: def0, energy: CPU_EC: 2934 Wifi_EC: 307934Total: 310868
FileName: aoraki-mount-cook-mountain-new-zealand-68695-medium.jpeg, datasize: 80055.0, network3g:3 , method: def0, energy: CPU_EC: 3001 Wifi_EC: 311076Total: 314077
FileName: B-1B-over-the-pacific-ocean-2016052814.png, datasize: 700635.0, network3g:3 , method: def0, energy: CPU_EC: 3253 Wifi_EC: 331323Total: 334576
FileName: b77d48f566d2bdc501eed5da057a7f14.jpg, datasize: 502554.0, network3g:3 , method: def0, energy: CPU_EC: 3451 Wifi_EC: 345288Total: 348739
FileName: Bay-area2.bmp, datasize: 833458.0, network3g:3 , method: def0, energy: CPU_EC: 3641 Wifi_EC: 369726Total: 373367
FileName: bigsavina.bmp, datasize: 656694.0, network3g:3 , method: def0, energy: CPU_EC: 3824 Wifi_EC: 396256Total: 400080
FileName: Black-Mountain-Golf-Club.bmp, datasize: 1536054.0, network3g:3 , method: def0, energy: CPU_EC: 4080 Wifi_EC: 440237Total: 444317
FileName: bobcat_3.bmp, datasize: 842154.0, network3g:3 , method: def0, energy: CPU_EC: 4263 Wifi_EC: 463628Total: 467891
FileName: climbing 2.bmp, datasize: 5760054.0, network3g:3 , method: def0, energy: CPU_EC: 5016 Wifi_EC: 626295Total: 631311
FileName: color.gif, datasize: 642798.0, network3g:3 , method: def0, energy: CPU_EC: 5255 Wifi_EC: 651775Total: 657030
FileName: Cougar.bmp, datasize: 124136.0, network3g:3 , method: def0, energy: CPU_EC: 5321 Wifi_EC: 657011Total: 662332
FileName: crystal-mountain.png, datasize: 334328.0, network3g:3 , method: def0, energy: CPU_EC: 5483 Wifi_EC: 670274Total: 675757
FileName: download (1).jpeg, datasize: 5024.0, network3g:3 , method: def0, energy: CPU_EC: 5496 Wifi_EC: 670972Total: 676468
FileName: download.jpeg, datasize: 8486.0, network3g:3 , method: def0, energy: CPU_EC: 5535 Wifi_EC: 672019Total: 677554
FileName: eagle-heights-mountain.jpg, datasize: 967158.0, network3g:3 , method: def0, energy: CPU_EC: 5734 Wifi_EC: 699256Total: 704990
FileName: Exposed to sky surveying the strand Screenshot.bmp, datasize: 8294454.0, network3g:3 , method: def0, energy: CPU_EC: 6234 Wifi_EC: 960037Total: 966271
FileName: Fish-rain-from-the-sky.gif, datasize: 1961420.0, network3g:3 , method: def0, energy: CPU_EC: 6503 Wifi_EC: 1013104Total: 1019607
FileName: giphy (1).gif, datasize: 8077805.0, network3g:3 , method: def0, energy: CPU_EC: 7004 Wifi_EC: 1245252Total: 1252256
FileName: giphy.gif, datasize: 1120184.0, network3g:3 , method: def0, energy: CPU_EC: 7329 Wifi_EC: 1275978Total: 1283307
FileName: Hovenweep-featured-700px-460px.png, datasize: 530975.0, network3g:3 , method: def0, energy: CPU_EC: 7573 Wifi_EC: 1292734Total: 1300307
FileName: images (1).jpeg, datasize: 3973.0, network3g:3 , method: def0, energy: CPU_EC: 7586 Wifi_EC: 1294130Total: 1301716
FileName: images (1).png, datasize: 3456.0, network3g:3 , method: def0, energy: CPU_EC: 7604 Wifi_EC: 1295177Total: 1302781
FileName: images (2).jpeg, datasize: 9492.0, network3g:3 , method: def0, energy: CPU_EC: 7638 Wifi_EC: 1296224Total: 1303862
FileName: images (3).jpeg, datasize: 9123.0, network3g:3 , method: def0, energy: CPU_EC: 7658 Wifi_EC: 1297620Total: 1305278
FileName: images (4).jpeg, datasize: 5917.0, network3g:3 , method: def0, energy: CPU_EC: 7698 Wifi_EC: 1298667Total: 1306365
FileName: images (5).jpeg, datasize: 8324.0, network3g:3 , method: def0, energy: CPU_EC: 7711 Wifi_EC: 1300063Total: 1307774
FileName: jeju_3.bmp, datasize: 316554.0, network3g:3 , method: def0, energy: CPU_EC: 7874 Wifi_EC: 1310188Total: 1318062
FileName: logo.png, datasize: 2862269.0, network3g:3 , method: def0, energy: CPU_EC: 8246 Wifi_EC: 1385606Total: 1393852
FileName: mepis-wallpaper-blue-sky.gif, datasize: 153085.0, network3g:3 , method: def0, energy: CPU_EC: 8321 Wifi_EC: 1390495Total: 1398816
FileName: Mountain-PNG-File.png, datasize: 2515774.0, network3g:3 , method: def0, energy: CPU_EC: 8727 Wifi_EC: 1457187Total: 1465914
FileName: mountain-rang.png, datasize: 623010.0, network3g:3 , method: def0, energy: CPU_EC: 8957 Wifi_EC: 1473946Total: 1482903
FileName: mountain5.png, datasize: 2912831.0, network3g:3 , method: def0, energy: CPU_EC: 9378 Wifi_EC: 1553205Total: 1562583
FileName: ocean-009.jpg, datasize: 715404.0, network3g:3 , method: def0, energy: CPU_EC: 9627 Wifi_EC: 1572410Total: 1582037
FileName: peaceful-ocean.png, datasize: 255678.0, network3g:3 , method: def0, energy: CPU_EC: 9763 Wifi_EC: 1580090Total: 1589853
FileName: pexels-photo-26851-medium.jpg, datasize: 51424.0, network3g:3 , method: def0, energy: CPU_EC: 9803 Wifi_EC: 1582534Total: 1592337
FileName: pexels-photo-26890-medium.jpg, datasize: 51056.0, network3g:3 , method: def0, energy: CPU_EC: 9857 Wifi_EC: 1584978Total: 1594835
FileName: pexels-photo-26933-medium.jpg, datasize: 31604.0, network3g:3 , method: def0, energy: CPU_EC: 9896 Wifi_EC: 1587073Total: 1596969
FileName: pexels-photo-27111-medium.jpg, datasize: 42924.0, network3g:3 , method: def0, energy: CPU_EC: 9941 Wifi_EC: 1589168Total: 1599109
FileName: pexels-photo-27403-medium.jpg, datasize: 82179.0, network3g:3 , method: def0, energy: CPU_EC: 9995 Wifi_EC: 1592310Total: 1602305
